%Ident Type Price Count (Flight DepDate Cabin )+
1 A 2800.0 5 1 10/01/08 F
2 A 2200.5 7 1 10/01/08 B
3 A 1000.2 75 1 10/01/08 E
4 R 2200.5 9 1 10/01/08 B
5 R 1000.2 60 1 10/01/08 E
6 A 400.25 30 2 10/01/08 E
7 R 400.25 20 2 10/01/08 E
8 A 350.0 30 3 10/01/08 E
9 R 1200.17 1 3 10/01/08 B
10 R 350.4 30 3 10/01/08 E
11 A 1700.0 3 2 10/01/08 B 3 10/01/08 B
12 A 900.18 20 2 10/01/08 E 3 10/01/08 E
13 R 1700.0 1 2 10/01/08 B 3 10/01/08 B
14 R 900.18 10 2 10/01/08 E 3 10/01/08 E
15 A 1100.15 13 4 10/01/08 B
16 A 600.7 60 4 10/01/08 E
17 R 1100.15 9 4 10/01/08 B
18 R 600.7 40 4 10/01/08 E
19 A 2200.75 5 5 10/01/08 B
20 A 2900.1 1 5 10/01/08 F
21 R 2900.1 1 5 10/01/08 F
22 A 950.0 45 5 10/01/08 E
23 R 950.0 55 5 10/01/08 E
24 A 3400.61 4 4 10/01/08 F 5 10/01/08 F
25 A 2800.8 8 4 10/01/08 B 5 10/01/08 B
26 A 1100.0 80 4 10/01/08 E 5 10/01/08 E
27 R 3400.61 4 4 10/01/08 F 5 10/01/08 F
28 R 2800.8 4 4 10/01/08 B 5 10/01/08 B
29 R 1100.0 45 4 10/01/08 E 5 10/01/08 E
30 A 1600.09 3 6 10/01/08 B
31 A 450.64 32 6 10/01/08 E
32 R 1600.09 1 6 10/01/08 B
33 R 450.64 25 6 10/01/08 E
34 A 2500.25 0 7 10/01/08 F
35 A 1800.0 3 7 10/01/08 B
36 A 900.3 55 7 10/01/08 E
37 R 2500.25 2 7 10/01/08 F
38 R 1800.0 2 7 10/01/08 B
39 R 900.3 40 7 10/01/08 E
40 A 1100.05 4 8 10/01/08 B
41 A 400.8 55 8 10/01/08 E
42 R 1100.05 4 8 10/01/08 B
43 R 400.8 30 8 10/01/08 E
44 A 1200.0 3 9 10/01/08 B
45 A 350.42 40 9 10/01/08 E
46 R 1200.0 2 9 10/01/08 B
47 R 350.42 20 9 10/01/08 E
48 A 1700.76 6 8 10/01/08 B 9 10/01/08 B
49 A 900.0 25 8 10/01/08 E 9 10/01/08 E
50 R 900.0 15 8 10/01/08 E 9 10/01/08 E
51 A 1600.98 12 10 10/01/08 B
52 A 500.25 78 10 10/01/08 E
53 R 500.25 65 10 10/01/08 E
54 A 1400.34 7 11 10/01/08 F
55 A 1100.87 13 11 10/01/08 B
56 A 600.0 85 11 10/01/08 E
57 R 1100.13 19 11 10/01/08 B
58 R 600.0 148 11 10/01/08 E
59 A 2000.71 18 12 10/01/08 B
60 A 950.15 45 12 10/01/08 E
61 R 950.15 95 12 10/01/08 E
62 A 2200.03 4 12 10/01/08 F
63 R 1400.69 8 11 10/01/08 F
64 R 2200.03 8 12 10/01/08 F
65 R 2800.75 4 12 10/01/08 B
66 A 2500.5 2 4 10/01/08 F
67 R 2500.5 2 4 10/01/08 F
68 A 1600.38 7 6 10/01/08 B 5 10/01/08 F
69 A 450.0 50 6 10/01/08 E 5 10/01/08 E
70 R 1600.38 5 6 10/01/08 B 5 10/01/08 B
71 R 450.0 25 6 10/01/08 E 5 10/01/08 E
72 A 2350.91 4 2 10/01/08 B 7 10/01/08 F
73 A 900.14 20 2 10/01/08 E 7 10/01/08 E
74 A 1700.72 1 2 10/01/08 B 7 10/01/08 B
75 R 900.14 3 2 10/01/08 B 7 10/01/08 F
76 R 900.14 10 2 10/01/08 B 7 10/01/08 B
77 R 900.14 10 2 10/01/08 E 7 10/01/08 E
78 A 1700.3 5 2 10/01/08 B 9 10/01/08 B
79 A 900.75 32 2 10/01/08 E 9 10/01/08 E
80 A 1200.0 7 12 10/01/08 B 3 10/01/08 B
81 A 350.41 60 12 10/01/08 E 3 10/01/08 E
82 A 3500.0 2 3 10/01/08 B 5 10/01/08 F
83 A 2800.6 3 3 10/01/08 B 5 10/01/08 B
84 R 1500.24 10 3 10/01/08 E 5 10/01/08 E
#
